id,State,X_Coordinate,Y_Coordinate
1,Pickup Location,-122.3866966,37.7497038
2,Palam Vihar,77.0429556,28.5179556
3,Shastri Nagar,77.1818589,28.6700885
4,Pickup Location,210.1812615,22.56630067
5,Palam Vihar,309.9655392,18.02649302
6,Shastri Nagar,409.749817,13.48668537
7,Pickup Location,509.5340947,8.946877717
8,Palam Vihar,609.3183725,4.407070067
9,Shastri Nagar,709.1026502,-0.132737583
10,Pickup Location,808.886928,-4.672545233
11,Palam Vihar,908.6712057,-9.212352883
12,Shastri Nagar,1008.455483,-13.75216053
13,Pickup Location,1108.239761,-18.29196818
14,Palam Vihar,1208.024039,-22.83177583
15,Shastri Nagar,1307.808317,-27.37158348
16,Pickup Location,1407.592594,-31.91139113
17,Palam Vihar,1507.376872,-36.45119878
18,Shastri Nagar,1607.16115,-40.99100643
19,Pickup Location,1706.945428,-45.53081408
20,Palam Vihar,1806.729705,-50.07062173
21,Shastri Nagar,1906.513983,-54.61042938
22,Pickup Location,2006.298261,-59.15023703
23,Palam Vihar,2106.082539,-63.69004468
24,Shastri Nagar,2205.866816,-68.22985233
25,Pickup Location,2305.651094,-72.76965998
26,Palam Vihar,2405.435372,-77.30946763
27,Shastri Nagar,2505.21965,-81.84927528
28,Pickup Location,2605.003927,-86.38908293
29,Palam Vihar,2704.788205,-90.92889058
30,Shastri Nagar,2804.572483,-95.46869823
31,Pickup Location,2904.356761,-100.0085059
32,Palam Vihar,3004.141038,-104.5483135
33,Shastri Nagar,3103.925316,-109.0881212
34,Pickup Location,3203.709594,-113.6279288
35,Palam Vihar,3303.493872,-118.1677365
36,Shastri Nagar,3403.278149,-122.7075441
37,Pickup Location,3503.062427,-127.2473518
38,Palam Vihar,3602.846705,-131.7871594
39,Shastri Nagar,3702.630983,-136.3269671
40,Noida Extension,,
41,Adarsh Nagar,77.1704223,28.7165805
42,Panipat,76.9771675,29.3912753
43,Karol Bagh,77.1890227,28.6529982
44,Sultanpur,82.2380532,26.2604732
45,Moti Nagar,77.1424288,28.657859
46,Dilshad Garden,77.321446,28.6758864
47,Aya Nagar,77.1329132,28.476491
48,Rajiv Chowk,77.2193791,28.6314022
49,MG Road,77.6067902,12.9755264
50,Jasola,77.2913342,28.5427353
51,Ardee City,77.0792079,28.4410412
52,Meerut,77.7679671,29.0018557
53,Anand Vihar ISBT,77.3182836,28.6490523
54,Lajpat Nagar,77.2432851,28.5660924
55,Tughlakabad,77.2970508,28.5034421
56,Karkarduma,77.3060686,28.6493434
57,Dwarka Mor,77.0332792,28.61931
58,Anand Vihar,77.3158749,28.6468336
59,Uttam Nagar,77.0611064,28.6215226
60,Model Town,77.1885231,28.707334
61,Mandi House,77.2341926,28.6255149
62,Ghitorni,77.1424868,28.4931214
63,Rajiv Nagar,85.7826009,20.2507628
64,Sohna Road,77.0490033,28.3911015
65,Bahadurgarh,76.8346765,28.6609648
66,Moolchand,78.0689451,30.3184099
67,INA Market,77.2102415,28.5744076
68,Sushant Lok,77.0798127,28.4706634
69,IIT Delhi,77.1891506,28.5449971
70,Satguru Ram Singh Marg,77.1131431,28.6188228
71,Munirka,77.1710841,28.554886
72,IGNOU Road,77.2056737,28.5159032
73,Akshardham,77.2773184,28.6125167
74,Chhatarpur,79.6781776,24.7606089
75,IMT Manesar,76.920669,28.3671851
76,Azadpur,77.1803722,28.7070448
77,Jhilmil,77.3123949,28.6757197
78,Sikanderpur,77.0930017,28.4812716
79,Rohini West,77.115385,28.7149569
80,Kashmere Gate ISBT,77.2304228,28.6686963
81,Kherki Daula Toll,,
82,IFFCO Chowk,77.0724222,28.4723277
83,Hauz Rani,77.2117586,28.5291809
84,Sarai Kale Khan,77.2562282,28.5866263
85,Vishwavidyalaya,80.2674068,26.4964612
86,Maidan Garhi,77.1944475,28.4987734
87,Yamuna Bank,77.2678697,28.6232554
88,Khan Market,77.2259785,28.5995141
89,Pragati Maidan,77.2434616,28.6172378
90,Mansarovar Park,77.3008678,28.675385
91,Rithala,77.1071813,28.7208064
92,Saidulajab,77.2022859,28.5204237
93,Nawada,85.5179085,24.8173249
94,Shahdara,77.2985078,28.6758661
95,Tilak Nagar,77.096482,28.6365265
96,DLF Phase 3,77.094639,28.491359
97,Laxmi Nagar,93.8898315,6.8952194
98,Huda City Centre,77.0726571,28.4593429
99,Mehrauli,77.1783232,28.5218262
100,Botanical Garden,37.6382437,55.8448473
101,Ramesh Nagar,77.1316496,28.6527444
102,Dwarka Sector 21,77.0585605,28.5519218
103,Noida Film City,77.3139374,28.57407
104,India Gate,77.2294928,28.6129332
105,Barakhamba Road,77.2244394,28.6301074
106,Gurgaon Sector 56,77.0985157,28.4253232
107,Ashram,77.2585979,28.5724231
108,Gurgaon Sector 29,77.0671306,28.4669197
109,Jor Bagh,77.2125273,28.5865094
110,Saket,77.2022237,28.521168
111,Basai Dhankot,76.9828171,28.4645841
112,Udyog Vihar Phase 4,77.0813511,28.4971745
113,Raj Nagar Extension,77.400277,28.685628
114,Lok Kalyan Marg,77.2110967,28.5973513
115,Greater Kailash,77.2384925,28.5419077
116,Sarojini Nagar,77.1980786,28.575817
117,GTB Nagar,77.2063998,28.6981333
118,Vatika Chowk,80.9125355,26.8718646
119,Golf Course Road,-77.927756,39.4450672
120,Ghaziabad,77.4586967,28.7749966
121,Narsinghpur,79.0867849,22.934556
122,Panchsheel Park,77.2210916,28.5423747
123,Badarpur,77.3030303,28.4932633
124,Pataudi Chowk,77.2379943,28.6481428
125,Gwal Pahari,77.1480585,28.4326344
126,Tagore Garden,77.1128703,28.6437288
127,Samaypur Badli,77.1382701,28.7446411
128,Hero Honda Chowk,77.1658628,28.7404709
129,Delhi Gate,77.2407549,28.6392084
130,Chanakyapuri,77.1885212,28.5946775
131,RK Puram,78.5487763,17.3679481
132,Shivaji Park,72.8383977,19.0272788
133,Keshav Puram,77.1616833,28.6889264
134,Saket A Block,77.2048771,28.528163
135,ITO,139.101729,34.9656621
136,Indraprastha,77.249551,28.6206019
137,Janakpuri,77.0874757,28.6219272
138,Ashok Park Main,77.155291,28.6716045
139,Connaught Place,77.2193791,28.6314022
140,Jahangirpuri,77.162658,28.7259717
141,Govindpuri,80.312879,26.4536771
142,Welcome,-80.2540727,35.9091368
143,Preet Vihar,77.2952594,28.6414409
144,Indirapuram,77.3684892,28.6423908
145,Kalkaji,77.258801,28.5469476
146,Sonipat,77.0233627,28.9953758
147,Netaji Subhash Place,77.1526404,28.6960518
148,South Extension,77.2205677,28.5685664
149,Kadarpur,77.7437817,24.2015553
150,Arjangarh,77.1209508,28.4787294
151,Chirag Delhi,77.2280694,28.5381411
152,Manesar,76.9263787,28.3247096
153,Green Park,-0.1429113,51.5066192
154,Badshahpur,77.0484201,28.3932757
155,Ashok Vihar,72.886755,19.116503
156,Nehru Place,77.2529526,28.5492574
157,Chandni Chowk,77.2321937,28.6559834
158,Gurgaon Railway Station,77.0111934,28.4891009
159,Inderlok,77.1703467,28.6735891
160,Rajouri Garden,77.1227198,28.6490563
161,Bhiwadi,76.837441,28.2039413
162,Subhash Chowk,72.5336995,23.0524038
163,Rohini East,77.1259971,28.7075774
164,Peeragarhi,77.0931024,28.6773142
165,Vasant Kunj,77.1541335,28.5292495
166,Pulbangash,77.212246,28.664396
167,Kaushambi,81.4493567,25.5342456
168,Bhikaji Cama Place,77.1878709,28.5702618
169,Kirti Nagar,77.1506635,28.655746
170,Paharganj,77.2140607,28.6414989
171,Subhash Nagar,77.1051815,28.6404593
172,Old Gurgaon,77.0441185,28.4701448
173,Udyog Vihar,77.0884362,28.6822073
174,Hauz Khas,77.2077638,28.5498087
175,Paschim Vihar,77.095956,28.6695782
176,Ambience Mall,77.1551082,28.5412453
177,Lal Quila,77.2366607,28.657483
